"Title","Body","Status","Roadmap","Type","Task ID","Epic","Priority","Dependencies","Area","Labels"
"[FR-04-T04] Add team mode awareness (CTF/TDM/etc.) to bot utility state updates.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T04","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T05] Add map-level nav validation pass and bot spawn diagnostics.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T05","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T06] Add bot participation checks to match/tournament/map-vote flows.","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P1; Dependencies: `FR-04-T02`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T06","FR-04","P1","`FR-04-T02`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P1"
"[FR-04-T07] Provide bot tuning cvars in preferred naming convention (`sg_` for new controls).","Roadmap: Feature; Epic: FR-04 - Bots and Match Experience; Priority: P2; Dependencies: `FR-04-T01`; Area: `src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-04-T07","FR-04","P2","`FR-04-T01`","`src/game/sgame/bots/*`, `src/game/sgame/match/*`, `src/game/sgame/gameplay/*`","roadmap,feature,epic:FR-04,priority:P2"
"[FR-05-T01] Build full format support matrix (current vs target) for MD2/MD3/MD5/IQM/BSP variants/DDS.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P0; Dependencies: none; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T01","FR-05","P0","none","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P0"
"[FR-05-T02] Define IQM implementation plan and shared loader boundaries.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P1; Dependencies: `FR-05-T01`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T02","FR-05","P1","`FR-05-T01`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P1"
"[FR-05-T03] Define extended BSP support plan (`IBSP29`, `BSP2`, `BSP2L`, `BSPX`) with compatibility rules.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P1; Dependencies: `FR-05-T01`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T03","FR-05","P1","`FR-05-T01`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P1"
"[FR-05-T04] Add renderer-side format fallback diagnostics for unsupported assets.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P2; Dependencies: `FR-05-T01`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T04","FR-05","P2","`FR-05-T01`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P2"
"[FR-05-T05] Add staged asset validation checks to packaging pipeline for new formats.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P1; Dependencies: `DV-02-T04`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T05","FR-05","P1","`DV-02-T04`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P1"
"[FR-05-T06] Add user-facing docs describing supported asset formats and caveats.","Roadmap: Feature; Epic: FR-05 - Asset and Format Expansion; Priority: P2; Dependencies: `FR-05-T01..T05`; Area: `src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-05-T06","FR-05","P2","`FR-05-T01..T05`","`src/renderer/*`, `src/rend_gl/*`, `src/rend_vk/*`, `inc/format/*`","roadmap,feature,epic:FR-05,priority:P2"
"[FR-06-T01] Consolidate spatial audio follow-up backlog into implementation tasks.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: none; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T01","FR-06","P1","none","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-06-T02] Complete graphical obituaries/chatbox enhancement track and integrate with localization.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: none; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T02","FR-06","P1","none","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-06-T03] Add accessibility pass for text backgrounds, scaling, contrast defaults, and fallback fonts.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: none; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T03","FR-06","P1","none","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-06-T04] Add presets for competitive readability vs immersive presentation.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P2; Dependencies: `FR-06-T03`; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T04","FR-06","P2","`FR-06-T03`","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P2"
"[FR-06-T05] Add QA script/checklist for multi-language font rendering in main HUD/menu surfaces.","Roadmap: Feature; Epic: FR-06 - Audio, Feedback, and Accessibility; Priority: P1; Dependencies: `FR-06-T03`; Area: `src/client/sound/*`, `src/game/cgame/*`, localization and font docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-06-T05","FR-06","P1","`FR-06-T03`","`src/client/sound/*`, `src/game/cgame/*`, localization and font docs","roadmap,feature,epic:FR-06,priority:P1"
"[FR-07-T01] Add end-to-end validation scenarios for map vote, mymap queue, and nextmap transitions.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P1; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T01","FR-07","P1","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P1"
"[FR-07-T02] Harden tournament veto/replay flows with explicit error handling and state resets.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P1; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T02","FR-07","P1","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P1"
"[FR-07-T03] Improve match logging artifact schema/versioning for downstream tooling.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P2; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T03","FR-07","P2","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P2"
"[FR-07-T04] Add command-level audit for vote/admin privileges and abuse controls.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P1; Dependencies: none; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T04","FR-07","P1","none","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P1"
"[FR-07-T05] Add server-operator docs for new competitive tooling and expected cvars.","Roadmap: Feature; Epic: FR-07 - Multiplayer Operations and Match Tooling; Priority: P2; Dependencies: `FR-07-T01..T04`; Area: `src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-07-T05","FR-07","P2","`FR-07-T01..T04`","`src/game/sgame/match/*`, `src/game/sgame/menu/*`, `src/game/sgame/commands/*`","roadmap,feature,epic:FR-07,priority:P2"
"[FR-08-T01] Define service boundary document for engine, game module, updater, and external web services.","Roadmap: Feature; Epic: FR-08 - Online Ecosystem Foundations; Priority: P1; Dependencies: none; Area: updater, release index tooling, future external services; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-08-T01","FR-08","P1","none","updater, release index tooling, future external services","roadmap,feature,epic:FR-08,priority:P1"
"[FR-08-T02] Define authentication and identity model (Discord OAuth or alternative) with threat model.","Roadmap: Feature; Epic: FR-08 - Online Ecosystem Foundations; Priority: P2; Dependencies: `FR-08-T01`; Area: updater, release index tooling, future external services; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-08-T02","FR-08","P2","`FR-08-T01`","updater, release index tooling, future external services","roadmap,feature,epic:FR-08,priority:P2"
"[FR-08-T03] Define server browser data contract between in-game UI and backend service.","Roadmap: Feature; Epic: FR-08 - Online Ecosystem Foundations; Priority: P2; Dependencies: `FR-08-T01`; Area: updater, release index tooling, future external services; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-08-T03","FR-08","P2","`FR-08-T01`","updater, release index tooling, future external services","roadmap,feature,epic:FR-08,priority:P2"
"[FR-08-T04] Define CDN/update channel strategy aligned with existing release index format.","Roadmap: Feature; Epic: FR-08 - Online Ecosystem Foundations; Priority: P2; Dependencies: none; Area: updater, release index tooling, future external services; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-08-T04","FR-08","P2","none","updater, release index tooling, future external services","roadmap,feature,epic:FR-08,priority:P2"
"[FR-08-T05] Stage a minimal public server deployment runbook and monitoring checklist.","Roadmap: Feature; Epic: FR-08 - Online Ecosystem Foundations; Priority: P2; Dependencies: `FR-08-T01`; Area: updater, release index tooling, future external services; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Feature","Feature","FR-08-T05","FR-08","P2","`FR-08-T01`","updater, release index tooling, future external services","roadmap,feature,epic:FR-08,priority:P2"
"[DV-01-T01] Establish canonical project board template and required fields.","Roadmap: Development; Epic: DV-01 - Project Governance and Team Workflow; Priority: P0; Dependencies: none; Area: `AGENTS.md`, `README.md`, `docs-dev/projects` process docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Development","Development","DV-01-T01","DV-01","P0","none","`AGENTS.md`, `README.md`, `docs-dev/projects` process docs","roadmap,development,epic:DV-01,priority:P0"
"[DV-01-T02] Define naming conventions for epics/tasks/milestones and enforce in docs.","Roadmap: Development; Epic: DV-01 - Project Governance and Team Workflow; Priority: P0; Dependencies: `DV-01-T01`; Area: `AGENTS.md`, `README.md`, `docs-dev/projects` process docs; Source: docs-dev/proposals/swot-feature-development-roadmap-2026-02-27.md","Todo","Development","Development","DV-01-T02","DV-01","P0","`DV-01-T01`","`AGENTS.md`, `README.md`, `docs-dev/projects` process docs","roadmap,development,epic:DV-01,priority:P0"
